date,open,high,low,close,adj_close,volume,log_return_1d
2019-02-25,41.718922,42.128540,41.668613,41.735687,41.735687,87493600,0.007258
2019-02-26,41.611134,41.992004,41.481777,41.759647,41.759647,68280800,0.000574
2019-02-27,41.491356,41.920139,41.376373,41.888996,41.888996,111341600,0.003093
2019-02-28,41.757252,41.898582,41.421890,41.476982,41.476982,112861600,-0.009885
2019-03-01,41.747665,41.956066,41.414700,41.912949,41.912949,103544800,0.010456
2019-03-04,42.085419,42.578876,41.673401,42.123745,42.123745,109744800,0.005017
2019-03-05,42.145302,42.159676,41.809940,42.047089,42.047089,78949600,-0.001821
2019-03-06,41.841084,42.037510,41.666218,41.805153,41.805153,83241600,-0.005771
2019-03-07,41.649452,41.785995,41.206299,41.321278,41.321278,99185600,-0.011642
2019-03-08,40.799072,41.457817,40.602646,41.419491,41.419491,95997600,0.002374
2019-03-11,42.037514,42.907055,42.003979,42.854355,42.854355,128044000,0.034056
2019-03-12,43.117844,43.757427,42.966930,43.335831,43.335831,129870400,0.011173
2019-03-13,43.656830,43.908352,43.338234,43.527477,43.527477,124130000,0.004413
2019-03-14,44.052067,44.099979,43.731079,44.011345,44.011345,94318000,0.011055
2019-03-15,44.279636,44.873703,44.013744,44.583855,44.583855,156171600,0.012924
2019-03-18,44.507202,45.127621,44.504807,45.038990,45.038990,104879200,0.010157
2019-03-19,45.118050,45.271358,44.535957,44.682079,44.682079,126585600,-0.007956
2019-03-20,44.610210,45.391125,44.250896,45.072533,45.072533,124140800,0.008701
2019-03-21,45.518078,47.029598,45.467773,46.732563,46.732563,204136800,0.036168
2019-03-22,46.792458,47.355385,45.700138,45.764816,45.764816,169630800,-0.020926
2019-03-25,45.875004,45.987587,44.698845,45.211468,45.211468,175381200,-0.012165
2019-03-26,45.910934,46.203178,44.214966,44.744354,44.744354,199202000,-0.010386
2019-03-27,45.213860,45.455795,44.686863,45.146786,45.146786,119393600,0.008954
2019-03-28,45.261776,45.407894,44.921623,45.206680,45.206680,83121600,0.001326
2019-03-29,45.472569,45.532455,45.163555,45.501312,45.501312,94256000,0.006496
2019-04-01,45.906151,45.915730,45.125237,45.810333,45.810333,111448000,0.006769
2019-04-02,45.774391,46.581654,45.764809,46.476254,46.476254,91062800,0.014432
2019-04-03,46.291805,47.070324,46.267849,46.794849,46.794849,93087200,0.006832
2019-04-04,46.660694,47.039173,46.265450,46.876286,46.876286,76457200,0.001739
2019-04-05,47.058346,47.214050,46.933781,47.190094,47.190094,74106400,0.006672
2019-04-08,47.051155,47.963818,47.031990,47.932678,47.932678,103526800,0.015613
2019-04-09,47.985382,48.591431,47.724277,47.788956,47.788956,143072800,-0.003003
2019-04-10,47.592525,48.085987,47.472752,48.057240,48.057240,86781200,0.005598
2019-04-11,48.112339,48.148270,47.535038,47.657204,47.657204,83603200,-0.008359
2019-04-12,47.717087,47.942261,47.000854,47.638039,47.638039,111042800,-0.000402
2019-04-15,47.568573,47.872795,47.432034,47.724277,47.724277,70146400,0.001809
2019-04-16,47.779377,48.236900,47.563782,47.729069,47.729069,102785600,0.000100
2019-04-17,47.798534,48.718384,47.575760,48.658497,48.658497,115627200,0.019286
2019-04-18,48.656097,48.902824,48.512371,48.833359,48.833359,96783200,0.003587
2019-04-19,48.656097,48.902824,48.512371,48.833359,48.833359,96783200,0.000000
